track_name,album_name,popularity,track_duration_ms,explicit,artist_id,release_year,artist_name,genres,charted_year,years_since_release
NOKIA,$ome $exy $ongs 4 U,94,241023,TRUE,3TVXtAsR1Inumwj472S9r4,2025,Drake,rap,2018,7
One Dance,Views,89,173986,FALSE,3TVXtAsR1Inumwj472S9r4,2016,Drake,rap,2018,2
Passionfruit,More Life,87,298940,TRUE,3TVXtAsR1Inumwj472S9r4,2017,Drake,rap,2018,1
DIE TRYING,$ome $exy $ongs 4 U,87,195431,TRUE,3TVXtAsR1Inumwj472S9r4,2025,Drake,rap,2018,7
She Will,Tha Carter IV (Complete Edition),81,305840,TRUE,3TVXtAsR1Inumwj472S9r4,2011,Drake,rap,2018,7
God's Plan,Scorpion,86,198973,TRUE,3TVXtAsR1Inumwj472S9r4,2018,Drake,rap,2018,0
WAIT FOR U (feat. Drake & Tems),I NEVER LIKED YOU,85,189893,TRUE,3TVXtAsR1Inumwj472S9r4,2022,Drake,rap,2018,4
Headlines,Take Care (Deluxe),85,235986,TRUE,3TVXtAsR1Inumwj472S9r4,2011,Drake,rap,2018,7
9,Views,84,255786,TRUE,3TVXtAsR1Inumwj472S9r4,2016,Drake,rap,2018,2
Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",83,218364,TRUE,3TVXtAsR1Inumwj472S9r4,2022,Drake,rap,2018,4
I Had Some Help (Feat. Morgan Wallen),F-1 Trillion,88,178205,TRUE,246dkjvS1zLTtiykXe5h60,2024,Post Malone,,2018,6
I Ain't Comin' Back (feat. Post Malone),I’m The Problem,82,175271,FALSE,246dkjvS1zLTtiykXe5h60,2025,Post Malone,,2018,7
Sunflower - Spider-Man: Into the Spider-Verse,Hollywood's Bleeding,85,157560,FALSE,246dkjvS1zLTtiykXe5h60,2019,Post Malone,,2018,1
Circles,Hollywood's Bleeding,88,215280,FALSE,246dkjvS1zLTtiykXe5h60,2019,Post Malone,,2018,1
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,85,228965,FALSE,246dkjvS1zLTtiykXe5h60,2024,Post Malone,,2018,6
rockstar (feat. 21 Savage),beerbongs & bentleys,84,218146,TRUE,246dkjvS1zLTtiykXe5h60,2018,Post Malone,,2018,0
Guy For That (Feat. Luke Combs),F-1 Trillion,81,164011,FALSE,246dkjvS1zLTtiykXe5h60,2024,Post Malone,,2018,6
Congratulations,Stoney (Deluxe),83,220293,TRUE,246dkjvS1zLTtiykXe5h60,2016,Post Malone,,2018,2
Better Now,beerbongs & bentleys,82,231266,TRUE,246dkjvS1zLTtiykXe5h60,2018,Post Malone,,2018,0
Dial Drunk (with Post Malone),Dial Drunk (with Post Malone),81,213817,TRUE,246dkjvS1zLTtiykXe5h60,2023,Post Malone,,2018,5
Falling Down - Bonus Track,"Come Over When You're Sober, Pt. 2",86,196400,TRUE,15UsOTVnJzReFVN1VCnxy4,2018,XXXTENTACION,emo rap,2018,0
Hope,?,85,110886,TRUE,15UsOTVnJzReFVN1VCnxy4,2018,XXXTENTACION,emo rap,2018,0
Revenge,17,85,120026,TRUE,15UsOTVnJzReFVN1VCnxy4,2017,XXXTENTACION,emo rap,2018,1
Fuck Love,17,85,146520,TRUE,15UsOTVnJzReFVN1VCnxy4,2017,XXXTENTACION,emo rap,2018,1
Moonlight,?,84,135090,TRUE,15UsOTVnJzReFVN1VCnxy4,2018,XXXTENTACION,emo rap,2018,0
SAD!,?,82,166605,TRUE,15UsOTVnJzReFVN1VCnxy4,2018,XXXTENTACION,emo rap,2018,0
Everybody Dies In Their Nightmares,17,82,95466,TRUE,15UsOTVnJzReFVN1VCnxy4,2017,XXXTENTACION,emo rap,2018,1
Jocelyn Flores,17,82,119133,TRUE,15UsOTVnJzReFVN1VCnxy4,2017,XXXTENTACION,emo rap,2018,1
Look At Me!,Look At Me!,81,126345,TRUE,15UsOTVnJzReFVN1VCnxy4,2017,XXXTENTACION,emo rap,2018,1
BAD!,SKINS,78,94245,FALSE,15UsOTVnJzReFVN1VCnxy4,2018,XXXTENTACION,emo rap,2018,0
LA CANCIÓN,OASIS,90,242573,FALSE,1vyhD5VmyZ7KMfW5gqLgo5,2019,J Balvin,"reggaeton, latin",2018,1
Azul,Colores,86,205933,FALSE,1vyhD5VmyZ7KMfW5gqLgo5,2020,J Balvin,"reggaeton, latin",2018,2
X (feat. Maluma & Ozuna) - Remix,X (feat. Maluma & Ozuna) [Remix],86,235746,FALSE,1vyhD5VmyZ7KMfW5gqLgo5,2018,J Balvin,"reggaeton, latin",2018,0
+57,+57,85,298130,TRUE,1vyhD5VmyZ7KMfW5gqLgo5,2024,J Balvin,"reggaeton, latin",2018,6
No Me Conoce - Remix,Famouz,85,309120,FALSE,1vyhD5VmyZ7KMfW5gqLgo5,2019,J Balvin,"reggaeton, latin",2018,1
Mi Gente,Vibras,79,185040,FALSE,1vyhD5VmyZ7KMfW5gqLgo5,2018,J Balvin,"reggaeton, latin",2018,0
QUE PRETENDES,OASIS,83,222346,FALSE,1vyhD5VmyZ7KMfW5gqLgo5,2019,J Balvin,"reggaeton, latin",2018,1
UN PESO,OASIS,82,277106,FALSE,1vyhD5VmyZ7KMfW5gqLgo5,2019,J Balvin,"reggaeton, latin",2018,1
Downtown,Downtown,80,193456,FALSE,1vyhD5VmyZ7KMfW5gqLgo5,2017,J Balvin,"reggaeton, latin",2018,1
I Like It,Invasion of Privacy,80,253390,TRUE,1vyhD5VmyZ7KMfW5gqLgo5,2018,J Balvin,"reggaeton, latin",2018,0
Azizam,Azizam,92,162029,FALSE,6eUKZXaKkcviH0Ku9w2n3V,2025,Ed Sheeran,soft pop,2018,7
Shape of You,÷ (Deluxe),91,233712,FALSE,6eUKZXaKkcviH0Ku9w2n3V,2017,Ed Sheeran,soft pop,2018,1
Perfect,÷ (Deluxe),91,263400,FALSE,6eUKZXaKkcviH0Ku9w2n3V,2017,Ed Sheeran,soft pop,2018,1
Photograph,x (Wembley Edition),73,258986,FALSE,6eUKZXaKkcviH0Ku9w2n3V,2013,Ed Sheeran,soft pop,2018,5
Thinking out Loud,x (Wembley Edition),72,281560,FALSE,6eUKZXaKkcviH0Ku9w2n3V,2013,Ed Sheeran,soft pop,2018,5
Shivers,=,85,207853,FALSE,6eUKZXaKkcviH0Ku9w2n3V,2021,Ed Sheeran,soft pop,2018,3
Bad Habits,=,85,230746,FALSE,6eUKZXaKkcviH0Ku9w2n3V,2021,Ed Sheeran,soft pop,2018,3
Old Phone,Old Phone,84,221831,FALSE,6eUKZXaKkcviH0Ku9w2n3V,2025,Ed Sheeran,soft pop,2018,7
I Don't Care,+-=÷× (Tour Collection),76,219946,FALSE,6eUKZXaKkcviH0Ku9w2n3V,2024,Ed Sheeran,soft pop,2018,6
Galway Girl,÷ (Deluxe),83,170826,FALSE,6eUKZXaKkcviH0Ku9w2n3V,2017,Ed Sheeran,soft pop,2018,1
I Had Some Help (Feat. Morgan Wallen),F-1 Trillion,88,178205,TRUE,246dkjvS1zLTtiykXe5h60,2024,Post Malone,,2019,5
I Ain't Comin' Back (feat. Post Malone),I’m The Problem,82,175271,FALSE,246dkjvS1zLTtiykXe5h60,2025,Post Malone,,2019,6
Sunflower - Spider-Man: Into the Spider-Verse,Hollywood's Bleeding,85,157560,FALSE,246dkjvS1zLTtiykXe5h60,2019,Post Malone,,2019,0
Circles,Hollywood's Bleeding,88,215280,FALSE,246dkjvS1zLTtiykXe5h60,2019,Post Malone,,2019,0
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,85,228965,FALSE,246dkjvS1zLTtiykXe5h60,2024,Post Malone,,2019,5
rockstar (feat. 21 Savage),beerbongs & bentleys,84,218146,TRUE,246dkjvS1zLTtiykXe5h60,2018,Post Malone,,2019,1
Guy For That (Feat. Luke Combs),F-1 Trillion,81,164011,FALSE,246dkjvS1zLTtiykXe5h60,2024,Post Malone,,2019,5
Congratulations,Stoney (Deluxe),83,220293,TRUE,246dkjvS1zLTtiykXe5h60,2016,Post Malone,,2019,3
Better Now,beerbongs & bentleys,82,231266,TRUE,246dkjvS1zLTtiykXe5h60,2018,Post Malone,,2019,1
Dial Drunk (with Post Malone),Dial Drunk (with Post Malone),81,213817,TRUE,246dkjvS1zLTtiykXe5h60,2023,Post Malone,,2019,4
