track_name,artist_name,lyrics
Survival,Drake,"167 Contributors Translations ไทย Thai Español Survival Lyrics On “Survival,” Drake talks about his experience in the rap game by mentioning significant moments from throughout his career. These moments include his beef with Meek Mill, turbulent experiences with Cash… Read More [Intro] I been waitin' on this Yeah [Verse] All of this disorder, no addressin' The crown is broken in pieces, but there's more in my possession There's a whole lot in my possession Who do you really love? Well, that's sure to be in question My Mount Rushmore is me with four different expressions Who's givin' out this much return on investment? After my run, man, how is that even a question? After this summer, man, how is that even a— I've had real Philly niggas try to write my endin' Takin' shots with the GOAT and talked about shots that we sendin' I've had scuffles with bad boys that wasn't pretendin' I've had too many nights to mention, that's just the beginnin' I'm pretty sure we got a label, I'm still independent I fell back a hundred times when I don't get the credit Seen this movie a hundred times, I know where it's headed Realize someone gotta die when no one'll dead it Niggas gamblin' with they life for some content That's the type of lottery that could get your top picked I am a cream-of-the-crop nigga You niggas pop mollies, my 'Malis pop niggas House on both coasts, but I live on the charts I have tea with the stars and I swim with the sharks And I see in the dark, wasn't this cold at the start Think my soul has been marked, there's a hole in my heart Yeah, I was about to— Man, I thought about it It's unsettlin' to talk about it Free all of my niggas that they caught with it RIP my niggas that they caught without it This just the intro, let me not get ahead of myself This is God's plan, young man, you said it yourself Always got a ace up my sleeve for whatever was dealt Daddy got suits like Bernie Mac, he dresses himself I stopped askin' myself and I started feelin' myself Now I gotta deal with all this drama and deal with myself I ain't even have to cut the tie, it severed itself This just the intro, let me not get ahead of myself"
Nonstop,Drake,"287 Contributors Translations Svenska Español Português Nonstop Lyrics On “Nonstop,” Drake flexes his abilities as a rapper and the business moves being made behind the scenes of his music. The song audibly has a distinct Memphis influence, as displayed by Drake’s flow… Read More [Intro: Lil Juice]  Tay Keith, fuck these niggas up  [Verse 1: Drake] Look, I just flipped a switch Flipped, flipped I don't know nobody else that's doin' this Bodies start to drop, ayy Hit the floor Now they wanna know me since I hit the top, ayy This a Rollie, not a stopwatch, shit don't ever stop This the flow that got the block hot, shit got super hot, ayy Give me my respect Give me my respect I just took it left like I'm ambidex' Bitch, I move through London with the Eurostep Two Got a sneaker deal and I ain't break a sweat Catch me 'cause I'm gone Outta there, I’m gone How I go from 6 to 23 like I'm LeBron? Servin' up a pack Servin' up a pack Niggas pullin' gimmicks 'cause they scared to rap, ayy Funny how they shook, ayy, got these niggas shook Pullin' back the curtain by myself, take a look, ayy I'm a bar spitta, I’m a hard hitta Yeah, I’m light-skinned, but I'm still a dark nigga I'm a wig splitta, I'm a tall figure I'm an unforgivin' wild-ass dog nigga Somethin' wrong with 'em, got 'em all bitter I'm a bill printer, I'm a gravedigger Yeah, I am what I am I don't have no time for no misunderstandings again [Chorus: Lil Sko & Drake ] My head is spinnin', from smokin' the chicken, the bass is kickin' My head is spinnin', from smokin' the chicken, the bass is kickin' My head is spinnin', from smokin' the chicken, the bass is kickin' My head is spinnin' This a Rollie, not a stopwatch, shit don't ever stop From smokin' the chicken, the bass is kickin' My head is spinnin', from smokin' the chicken, the bass is kickin' My head is spinnin', from smokin' the chicken, the bass is kickin' My head is spinnin', from smokin' the chicken, the bass is kickin' My head is– [Verse 2: Drake] Future took the business and ran it for me I let Ollie take the owl, told him brand it for me I get 2 million a pop and that’s standard for me Like I went blind, dog, you gotta hand it to me Gotta gimme that shit, dog Prayed, then I prayed again Amen, Lord Had a moment but it came and went They don't love you no more You don’t wanna play with him Nah, nah, nah They’ll be mournin' you like 8 a.m. R.I.P. Pinky ring 'til I get a wedding ring Woah, yeah Love my brothers, cut 'em in on anything Big slice And you know it's King Slime Drizzy, damn Woo, yeah She just said I'm bae, I hit the thizzle dance Mac Dre shit Either hand is the upper hand Oh, yeah, shit Got a bubba on my other hand Woah, yeah, shit, yeah This shit ain't no hundred bands Nah, nah, nah, nah Palace look like Buckingham Bills so big, I call 'em Williams, for real Reasons to go crazy, got a trillion, for real They been tryin' me but I'm resilient, for real I can't go in public like civilian, for real And I hardly take offense Money for revenge, man, that’s hardly an expense Al Haymon checks off of all of my events I like all the profit, man, I hardly do percents I don't do that shit A big part of me resents Niggas that I knew from when I started in this shit They see what I got and, man, it's hard to be content Fuck what they got goin' on, I gotta represent Ayy [Chorus: Lil Sko & Drake ] My head is spinnin', from smokin' the chicken, the bass is kickin' My head is spinnin', from smokin' the chicken, the bass is kickin' My head is spinnin', from smokin' the chicken, the bass is kickin' My head is spinnin' This a Rollie, not a stopwatch, shit don't ever stop From smokin' the chicken, the bass is kickin' My head is spinnin', from smokin' the chicken, the bass is kickin' My head is spinnin', from smokin' the chicken, the bass is kickin' My head is spinnin' This the flow that got the block hot, shit got super hot"
Elevate,Drake,"136 Contributors Translations Drake - Elevate แปลภาษาไทย Español Elevate Lyrics On “Elevate,” Drake looks back on the life he has built for those around him, but also stresses that he needs to continue pursuing more in life. The song was first teased as part of the Scorpion billboard… Read More [Chorus: Drake] Ayy, elevate, elevate Only obligation is to tell it straight So much on my plate I gotta delegate Baka passed a drug test, we gotta celebrate I'm in bed awake, thinkin' how'd I make All this happen for myself and my family All this happen for myself and my family There's no way that this is real, man, it can't be Yeah, yeah [Verse: Drake & French Montana ] If you need me, you can call me, I stay busy makin' money You know what is on my mind, all I think about is hunnids I stay busy Bzz workin' on me I stay busy with my business, homie I already hit her when you left her lonely She is not the type that likes to take things slowly Slowly, my mouth is goin' off, I don't know patience I got a chance then my niggas got it too like it's contagious I see the future when I get wavy Wavy God  But I couldn't picture bein' Champagne Haan when I would buy that shit and save it for the right occasion I couldn't picture changes When I was with Ms. Creighton, that lady hates me Couldn't picture wifin' Braden when I was pumpin' gas on road trips to go from Cincinnati on to Dayton I couldn't gauge it I wanna thank God for workin' way harder than Satan He's playin' favourites, it feels amazin' Yeah [Chorus: Drake] Elevate, elevate Only obligation is to tell it straight Me and all the guys found a better way This a life bid we can never separate I'm in bed awake, thinkin' how'd I make All this happen for myself and my family All this happen for myself and my family There's no way that this is real, man, it can't be [Outro: Drake] Yeah, I can only tell you shit in pieces As it happens to me, I begin to write the thesis Franny got the Aria setup like it's a Freaknik Vegas like Marineland, that big whale treatment Georgie got me up a hunnid thousand for the weekend I gotta move the safe beside the bed when I be sleepin' My mood is changin' this summer, I'ma be tweakin'"
Emotionless,Drake,"264 Contributors Translations Português Español Emotionless Lyrics On “Emotionless,” Drake ultimately acknowledges the existence of his child, Adonis. While Drake having a child was rumored in early 2017, Pusha-T’s “The Story of Adidon” brought these rumors to the forefront… Read More [Chorus: Mariah Carey] You've got me feeling emotions Ayy, higher Ah You've got me fe– You, oh [Verse 1: Drake] Don't link me Don't hit me when you hear this and tell me your favorite song Don't tell me how you knew it would be like this all along I know the truth is you won't love me until I'm gone And even then the thing that comes after is movin' on I can't even capture the feeling I had at first Meetin' all my heroes like seein' how magic works The people I look up to are goin' from bad to worse Their actions out of character even when they rehearse Workin' in the land of the free, the home of the brave I gotta bring my brothers or else I feel out of place Breakin' speed records on roads that these niggas paved And they don't like that, it's written all on they face I don't know how I'ma make it out of here clean Can't even keep track of who plays for the other team Iconic duos rip and split at the seams Good-hearted people are takin' it to extremes Leavin' me in limbo to question what I believe Leavin' me to ask what's their motive in makin' peace Leavin' me to not trust anybody I meet Leavin' me to ask, is there anybody like me? [Chorus: Mariah Carey] You've got me fe– You, oh You've got me fe– You, oh, ayy [Verse 2: Drake] Missin' out on my years There's times when I wish I was where I was Back when I used to wish I was here Missin' out on my days Scrollin' through life and fishin' for praise Opinions from total strangers take me out of my ways I try and see who's there on the other end of the shade Most times it's just somebody that's underaged That's probably just alone and afraid And lashin' out so that someone else can feel they pain I always hear people complain about the place that they live That all the people here are fake and they got nothin' to give 'Cause they been starin' at somebody else's version of shit That makes another city seem more excitin' than it is I know a girl whose one goal was to visit Rome Then she finally got to Rome And all she did was post pictures for people at home 'Cause all that mattered was impressin' everybody she's known I know another girl that's cryin' out for help But her latest caption is ""Leave me alone"" I know a girl happily married 'til she puts down her phone I know a girl that saves pictures from places she's flown To post later and make it look like she still on the go Look at the way we live I wasn't hidin' my kid from the world I was hidin' the world from my kid From empty souls who just wake up and look to debate Until you starin' at your seed, you can never relate Breakin' news in my life, I don't run to the blogs The only ones I wanna tell are the ones I can call They always ask, ""Why let the story run if it's false?"" You know a wise man once said nothin' at all I'm exhausted and drained, I can't even pretend All these people takin' miles when you give 'em an inch All these followers but who gon' follow me to the end? I guess I'll make it to the end and I'ma find out then [Outro: Mariah Carey] You've got me fe– You, ohhhh, ayy Higher, higher You've got me fe– You, ohhhh, ayy Higher, higher"
God's Plan,Drake,"674 Contributors Translations Русский Russian Türkçe Español Polski Italiano Deutsch Français azərbaycan God’s Plan Lyrics “God’s Plan” is a feel-good track that discusses Drake’s future. Being who he is in the industry, he knows that people want him to fail; however, God won’t let him do that. Another key subject of the song is… Read More [Intro] And they wishin' and wishin' And wishin' and wishin', they wishin' on me Yeah [Verse 1] I been movin' calm, don't start no trouble with me Tryna keep it peaceful is a struggle for me Don't pull up at 6 a.m. to cuddle with me You know how I like it when you lovin' on me I don't wanna die for them to miss me Yes, I see the things that they wishin' on me Hope I got some brothers that outlive me They gon' tell the story, shit was different with me [Chorus] God's plan, God's plan I hold back, sometimes, I won't, yeah I feel good, sometimes, I don't Ayy, don't I finessed down Weston Road Ayy, 'nessed Might go down a G-O-D Yeah, wait I go hard on Southside G Yeah, wait I make sure that north-side eat And still [Post-Chorus] Bad things It's a lot of bad things that they wishin' and wishin' And wishin' and wishin', they wishin' on me Bad things It's a lot of bad things that they wishin' and wishin' And wishin' and wishin', they wishin' on me Yeah, ayy, ayy [Verse 2] She say, ""Do you love me?"" I tell her, ""Only partly I only love my bed and my mama, I'm sorry"" Fifty Dub, I even got it tatted on me Eighty-one, they'll bring the crashers to the party And you know me Turn the O2 into the O3, dog Without 40, Oli, there'd be no me 'Magine if I never met the broskies [Chorus] God's plan, God's plan I can't do this on my own, ayy No, ayy Someone watchin' this shit close Yep, close I've been me since Scarlett Road, ayy Road, ayy Might go down as G-O-D Yeah, wait, yeah I go hard on Southside G Ayy, wait, ayy I make sure that north-side eat, yeah And still [Post-Chorus] Bad things It's a lot of bad things that they wishin' and wishin' And wishin' and wishin', they wishin' on me Yeah, yeah Bad things It's a lot of bad things that they wishin' and wishin' And wishin' and wishin', they wishin' on me Yeah"
I'm Upset,Drake,"324 Contributors Translations Português I’m Upset Lyrics “I’m Upset” is the fourth single released by Drake in 2018, following the Scary Hours EP from January and “Nice For What,” which released in April. Throughout the track, Drake discusses alimony and how he… Read More [Intro] Yeah I'm working on dying [Chorus] I'm upset Fifty thousand on my head, it's disrespect So offended that I had to double check I'ma always take the money over sex That's why they need me out the way, what you expect? [Verse 1] Got a lot of blood and it's cold They keep tryna get me for my soul Thankful for the women that I know Can't go fifty-fifty with no ho Every month I'm supposed to pay her bills and get her what she want I still got like seven years of doin' what I want My dad still got child support from 1991 One, one, one Outta town, people love to pop a lot of shit then come around Word to Flacko Jodye, he done seen us put it down Niggas askin' if I'm cool [Chorus] I'm upset 'Set, 'set Hunnid thousand on my head, it's disrespect Disrespect So offended that I had to double check [Verse 2] You tryna check? This is real life, niggas think we playin' chess So what's next? Jump up out the bed like I'm possessed I go out on tour and I say I'm drinkin' less End up gettin' loose and gettin' pictures from my ex Ex, ex, ex, ex SMS, triple X That's the only time I ever shoot below the neck Skrr Why you keep on shootin' if you know that nigga dead? Skrr That's the only kind of shit that gets you some respect [Refrain] Got a lot of blood and it's cold They keep tryna get me for my soul For my soul Thankful for the women that I know Can't go fifty-fifty with no ho Ayy, ayy Every month She don't even love me, she just puttin' on a front Front She gon' try and settle outta court and make a run Then gon' ask me how I'm doin'? [Chorus] I'm upset 'Set, 'set Half a million on my head I can accept, yeah 'Least it makes me feel like someone tried their best, yeah Want to waste a half a million, be my guest Made me wanna buy a vest and a TEC Skrr But I'm blessed, I just checked Checked, checked Hate me, never met me in the flesh Flesh Said she's got some things she gotta come here and collect That shit is in a box to the left, to the left Left, left, left [Outro] Got a lot of blood and it's cold They keep tryna get me for my soul For my soul Thankful for the women that I know That I know Can't go fifty-fifty with no ho"
8 Out Of 10,Drake,"218 Contributors 8 Out of 10 Lyrics On “8 Out of 10,” Drake has an in-depth conversation about his current life state. He realizes that people may judge him for his actions, and come at him, but ultimately he will still get plays. The song… Read More [Intro: Drake] Too rich for who? Y'all just got rich again Who grips the mic and likes to kill they friends? I've never been the type to make amends If shit was at a eight, we like to, we like to, we like to— Yeah, if shit was at a eight, we like to make it ten 1da sent this in, I'm goin' up all the way I don't like to talk when there's nothin' else left to say True  [Chorus: Drake] Drizzy 'bout to drop, the game is in disarray I'd tell you hear me out but we both know end of the day Your sister is pressin' play, your trainer is pressin' play Your wifey, your wifey, your wifey, your wifey— True  [Verse 1: Drake] I gotta breathe real deep when I catch an attitude I got a whole 'nother level that I can tap into Max said they only blessed when they attached to you The only deadbeats is whatever beats I been rappin' to True  And the product is still the best though It's only good in my city because I said so Just to fit the estate man, I had to Copperfield like presto Voilà, tada True  [Bridge: Drake] Never a matter of ""could I?"" or ""should I?"" Kiss my son on the forehead then kiss your ass goodbye As luck would have it, I've settled into my role as the good guy I guess luck is on your side I guess luck is on your side All sevens, no sixes, rest easy, get some shut eye Hold on, hold up, but I— [Verse 2: Drake] Miss makin' 'em pay Helipad from Will Smith crib straight to the stage Three Forum shows but I played Staples today The neighborhood is smokey, y'all stay safe in this place True  [Chorus: Drake] Drizzy 'bout to drop, the game is in disarray I'd tell you hear me out but we both know end of the day Your niggas is pressin' play, your nanny is pressin' play Your wifey, your wifey, your wifey, your wifey— True  [Verse 3: Drake] Had to go and hit reset, now we here I been on top for three sets of three years I can't be around the niggas you minglin' with I can't fly if I could sit on the wing of that shit True  I try to pay it less mind They been keepin' tabs on me like I'm payin' next time I think I sense a little fear from the other side White vans parked across the street, real subtle guys True  [Bridge: Drake] Yeah, never a matter of ""could I?"" or ""should I?"" Kiss my mom on the forehead then kiss your ass goodbye As luck would have it, I've settled into my role as the good guy I guess luck is on your side I guess luck is on your side All sevens, no sixes, rest easy, get some shut eye Hold on, hold up, but I— [Outro: Plies] Hahaha, I can't argue with you, no! You mad! Look at you, you mad! You big mad! Haheheh I'm happy! Leave me alone! I just want some money, a lot of money I don't get paid to argue with you No! Who is you? You ain't nobody! You mad"
Mob Ties,Drake,"239 Contributors Mob Ties Lyrics Helped by a piano sample taken from Nas' Mafioso-rap classic “Affirmative Action,” Drake claims “Mob Ties” and severs links with people who have betrayed him. Some of Drake’s OVO associates with criminal… Read More [Verse 1] Ayy, sick of these niggas Sick Sick of these niggas Sick, sick Hire some help Help, get rid of these niggas Skrr Sick of this shit, move to the Ritz Turned out the bitch Ayy It is what it is, yeah GLE, 'cause that Lambo movin' fast Skrr S Class, G Class, lotta class Sss, sss In a rocket and that bitch ain't got no tags Skrr, skrr Louis bags in exchange for body bags, yeah [Pre-Chorus] Sick of these niggas Sick Sick of these niggas Sick, sick Hire some help Help, get rid of these niggas Grr Fuck what it was, it is what it is What Whatever you did, it is what it is [Chorus] And I'm so tired tired I fuck with the mob and I got ties Lotta ties, lotta ties Knock you off to pay their tithes Do doo They want me gone but don't know why It's too late for all that lovey-dovey shit I'm your brother shit, all that other shit It's too late for all that It's too late for all that, ayy It's too late for all that lovey-dovey shit I'm your brother shit, all that other shit It's too late for all that, ayy It's too late for all that [Post-Chorus] Ayy, sick of these niggas I'm sick of these niggas Hire some help, get rid of these niggas I'm not with the ra-ra I am a Dada My bitch in Chanel now Your bitch in Escada Sick, sick, sick, sick [Verse 2] Yeah, and they shook Please don't let them fool ya, I don't care how they look Nah Heard all of the talkin', now it's quiet, now it's shush Shh Twenty-nine is comin', they on edge when I cook Cook Lead the league in scorin', man, but look at my assists Shh Yes I be with Future but I like to reminisce Yeah I do not forget a thing, I'm patient, it's a gift yeah Try to tell 'em they ain't got to do it, they insist they insist Yeah, I can tell I just gave 'em two for forty million like Chappelle Two Standin' over coffin with a hammer and a nail Two Heard you hit up so and so, that name don't ring a bell, nah [Pre-Chorus] Sick of these niggas Sick Hire some help, get rid of these niggas I'm sick of this shit Sick, sick I'm runnin' a blitz Ayy Whatever you did Ayy, it is what it is [Chorus] And I'm so tired Tired I fuck with the mob and I got ties Lotta ties, lotta ties Knock you off to pay their tithes Do doo They want me gone but don't know why It's too late for all that lovey-dovey shit I'm your brother shit, all that other shit It's too late for all that It's too late for all that, ayy It's too late for all that lovey-dovey shit I'm your brother shit, all that other shit It's too late for all that, ayy It's too late for all that"
Can’t Take A Joke,Drake,"117 Contributors Can’t Take a Joke Lyrics With “Can’t Take a Joke,” Drake braggadociously details his busy life as a celebrity. From touching on his home life in Hidden Hills, Calabasas, to mentioning taking vacations and talking about his nightlife… Read More [Intro] Ayo, blast that shit, Maxx Blast that shit back if you blastin' Ayy [Verse 1] UberX to Hidden Hills Give me somethin' I can feel If they come to Hidden Hills Then I know they know the deal We just right there up the road You could hit it with a stone I be out here on my own I'm just tryna set the tone I've been kicked when I was down None of that shit matter now Niggas think they run the town 'Til we run 'em out of town And they gotta relocate Gotta dip from where they stay Everything will be okay Man, just stay up out my way [Chorus] Skid around ends with the bros and I'm kitted to the toes If I touch studio then we got one I be tryna laugh with the bros 'bout the opps that we know But they can't take a joke, 'cause it's not one Think it's 'cause we live by the code, reputation to uphold Makin' me the one they gotta take the spot from I be tryna laugh with the bros but they can't take a joke [Interlude] Ayo, blast that shit, Maxx Blast that shit back if you blastin' Yeah, yeah [Verse 2] Back and forth to Italy My comment section killin' me I swear I get so passionate Y'all do not know the half of it I grew up with the Reps Up boys, we crashin' it and splashin' in And when I say they crashin' it, I do not mean a accident I'm– I'm still in the studio at 6:45 And my haters either on they way to work or they arrived And I gotta own the things I rap about just for my pride You know when it comes to pride, I can't put that shit aside I've been kicked when I was down None of that shit matter now They be throwin' in the towel I do yellowtail at TAO They be watchin' what they say Especially when it's to my face Everything will be okay Man, just stay up out my way [Chorus] Skid around ends with the bros and I'm kitted to the toes If I touch studio then we got one I be tryna laugh with the bros 'bout the opps that we know But they can't take a joke, 'cause it's not one Think it's 'cause we live by the code, reputation to uphold Makin' me the one they gotta take the spot from I be tryna laugh with the bros but they can't take a joke"
Sandra’s Rose,Drake,"205 Contributors Sandra’s Rose Lyrics On “Sandra’s Rose,” Drake details the way fame has impacted his lifestyle, for example having a lot of money and women, and how he gets discredited for it. By “Sandra’s Rose,” Drake refers to himself, his… Read More [Chorus: Maneesh & Drake ] Yeah, no more, no more Baby, baby, baby, baby, baby, baby, baby Yeah, no more, no more Baby, baby, baby, baby, baby, baby, baby Ooh, ooh Yeah  [Verse 1: Drake] Niggas see the crib and ask who did I steal from Price tags on makin' the world feel some They don't have enough to satisfy a real one Maverick Carter couldn't even get the deal done Niggas scared to come towards us, gotta run from us Louisville hush money for my young gunners Rick Pitino, I take 'em to strip clubs and casinos Stack of C-notes, get all you niggas scratched like Preemo Worms, I just opened up a can of those My mother had a flower shop, but I was Sandra's rose Two girls that I rope like Indiana Jones I make them hoes walk together like I'm Amber Rose Yeah, fuck that, I got to up the ante California girls sweeter than pieces of candy Had me all in Nipsey hood to go link up with Sammy Type of hood where bandanas make niggas a family Head on a swivel, I could shoot but I could never dribble Life too short, I gotta get it 'fore they blow the whistle My uncle tryna change my energy with stones and crystals But it's gon' take more than that for me to control my issues I wasn't made for no casket or no prison cell Every title doin' numbers like I'm Miss Adele Sandra knows I pulled us out of a living hell I'm the chosen one, flowers never pick themselves [Chorus: Maneesh] Yeah, no more, no more Baby, baby, baby, baby, baby, baby, baby, yeah Yeah, no more, no more Baby, baby, baby, baby, baby, baby, baby Ooh, ooh [Verse 2: Drake] Niggas want a classic, that's just ten of these Crime family like the Genovese, you don't want drama, capisc'? My house is full of supermodels just like Mohamed Hadid I take this shit too serious, you niggas my comic relief I find it funny how I keep on talkin' and commas increase I'm standin' at the top of where you niggas are climbin' to reach I even got my very own initials inscribed on my sheets Subtle reminders are key, jeez! Spoiler alert: the second act is tragic And everyone that wants the worst for me's askin' what happened Backstabbed so many times I started walkin' backwards Like Charlamagne, I see the light and see the darkest patches Bury me and I'll be born again I walk in godly form amongst the mortal men I got some real demons across the border fence And made a note of the mistakes we can't afford again Like I said, can of worms and I'm the early bird Niggas want to hang but I'm too busy doin' dirty work Hit 'em back and say we'll link up on the 33rd When I say that they cursin' me, it ain't dirty words Church of Pentecost, Holy Spirit synagogue I don't know who's protectin' me but we hit it off Sandra's rose, no wonder they tryna pick me off I guess you gotta show these niggas who you really are [Chorus: Maneesh] Yeah, no more, no more Baby, baby, baby, baby, baby, baby, baby, yeah Yeah, no more, no more Baby, baby, baby, baby, baby, baby, baby Ooh, ooh, ooh, ooh"
