track_name,artist_name,lyrics
NOKIA,Drake,"153 Contributors Translations Español Português Türkçe Русский Russian NOKIA Lyrics “NOKIA” by Drake is a track that explores Drake’s nightlife and specifically his women. The track names a series of women who we can assume are the names of Drake’s various girls. With the repeating line… Read More [Part I] [Pre-Chorus: Drake] Who's callin' my phone? Who's callin' that shit? Who's callin' my phone? Who's callin' that shit? Who's callin' my phone ? Who's callin' that shit? Who's callin' my phone ? Who's callin' that shit? Who's callin' my phone? Who? Who? Who's callin' my phone? Who? Who? Who's callin' my phone? Yeah, yeah Who's callin' my phone? OVO Sound, 2025 Who's callin' my phone? Who's callin' that shit? Who's callin' my phone ? [Chorus: Elkan & Drake ] Is it Stacy? Who's callin' my phone?  Is it Becky? Who's callin' my phone?  Is it Keisha? Who's callin' my phone?  Is it Ashley? Who's callin' my phone?  Was it Dani? Who's callin' my phone?  Is it PARTY? Who's callin' my phone?  Where's the function? Where the fuck the function?  Send the addy Where the fuck the function?  [Verse: Drake] The way I feel right now, I feel like we need to be all alone So if you just playin' around, you need to tell your girl, ""Take your fine ass home,"" and that's real Stop teasin' me, yeah, what? Stop teasin' me I could change your life so easily I keep beggin' you to stay, but you're leavin' me Leavin' me, we got sticks in the club illegally Got the whole 6ix side, they believe in me We got members east of the DVP We got members west on the 401 We had a lock on the game, but it's more to come You gotta pop that ass 'til the morning come You want shots for the girls? Then order some [Pre-Chorus: Drake] Who's callin' my phone? Who's callin' that? Who's callin' my phone? Who's callin' that shit? Who's callin' my phone? Who's callin' that shit? Who's callin' my phone? Who's callin' that shit? Who's callin' my phone? Who? Who? Who's callin' my phone? Who? Who? Who's callin' my phone? Who? Who? Who's callin' my— Ayy [Chorus: Elkan & Drake ] Is it Stacy? Who's callin' my phone?  Is it Becky? Who's callin' my phone?  Is it Keisha? Who's callin' my phone?  Is it Ashley? Who's callin' my phone?  Was it Dani? Who's callin' my phone?  Is it PARTY? Who's callin' my phone?  Where's the function? Where the fuck the function?  Send the addy Where the fuck the function?  [Part II] [Intro: Elkan] Baby girl Baby girl Baby girl [Chorus: Drake & Elkan ] Baby girl Let me see you do your dance, let me see you twirl Shakin' ass in the club with your homegirls Take a pic for the 'Gram, show the whole world Show the whole world, yeah Is that your bestie? I'ma ice both of y'all like Gretzky I'ma at you like bless me Hit the dance floor, get nasty, impress me Baby girl Let me see you do your dance, let me see you twirl Shakin' ass in the club with your homegirls Take a pic for the 'Gram, show the whole world Show the whole world, yeah Is that your bestie? I'ma ice both of y'all like Gretzky I'ma at you like bless me Hit the dance floor, get nasty, impress me [Verse: Drake] Ayy, how many hoes in this club? Is it just me and you, my love? I don't mean to call you no ho I just heard about the things that you do, my love And you're just like me, if it's true, my love, ayy You could see right through my love, ayy I see your waist shrunk, my love, ayy You got some bass in the trunk, my love, damn How many hoes in this club? Is it really just me, my love? You know my dad 'nem pimpin' for real You ever been down to Memphis, Tennessee, my love? Uh I ain't sayin' I agree, my love I'm just tellin' you the things that I see, my love I got drinks, jokes, sex, and cash Those are four things I can guarantee, my love, ayy [Chorus: Drake & Elkan ] Baby girl Let me see you do your dance, let me see you twirl Shakin' ass in the club with your homegirls Take a pic for the 'Gram, show the whole world Show the whole world, yeah Is that your bestie? I'ma ice both of y'all like Gretzky I'ma at you like bless me Hit the dance floor, get nasty, impress me Baby girl Let me see you do your dance, let me see you twirl Shakin' ass in the club with your homegirls Take a pic for the 'Gram, show the whole world Show the whole world, yeah Is that your bestie? I'ma ice both of y'all like Gretzky I'ma at you like bless me Hit the dance floor, get nasty, impress me"
One Dance,Drake,"310 Contributors Translations Türkçe Español Polski Deutsch Français Русский Russian One Dance Lyrics “One Dance” is an R&B song with dancehall and Afrobeats inflections, featuring a slowed down sample of the vocals and chord stabs from a 2008 UK Funky house anthem, Kyla’s “Do You Mind,” produced by Crazy… Read More [Refrain: Kyla] Baby, I like your style [Verse 1: Drake] Grips on your waist, front way, back way You know that I don't play Streets not safe but I never run away Even when I'm away Oti, oti There's never much love when we go OT I pray to make it back in one piece I pray, I pray [Chorus: Drake] That's why I need a one dance Got a Hennessy in my hand One more time 'fore I go Higher powers taking a hold on me I need a one dance Got a Hennessy in my hand One more time 'fore I go Higher powers taking a hold on me [Refrain: Kyla] Baby, I like your style [Verse 2: Drake] Strength and guidance All that I'm wishing for my friends Nobody makes it from my ends I had to bust up the silence You know you gotta stick by me Soon as you see the text, reply me I don't wanna spend time fighting We've got no time, and that's why [Chorus: Drake] I need a one dance Got a Hennessy in my hand One more time 'fore I go Higher powers taking a hold on me I need a one dance Got a Hennessy in my hand One more time 'fore I go Higher powers taking a hold on me [Post-Chorus: Wizkid] Got a pretty girl and she love me long time Fine like a wine, she love me long time Oh, yeah, very long time Back up, back up, back up, and whine it Back up, back up, and whine it Girl, just back up, back up, back up, and whine, girl Oh, yes, steady and fine Back, up, back up and whine it, mm [Bridge: Kyla] Oh, tell me, I need to know Where do you wanna go? 'Cause if you're down, I'll take it slow Make you lose control [Breakdown: Kyla & Wizkid ] Where, where, where Where, where, where, where  Oh, yeah, very long time  Where, where, where  Back up, back up, and wine am, girl  Where, where, where, where 'Cause if you're down  Back up, back up, and–  'Cause if you're down  Back up, back up, and–  'Cause if you're down  Back up, back up, and–  [Chorus: Drake & Kyla ] I need a one dance Where, where, where  Got a Hennessy in my hand Where, where, where, where  One more time 'fore I go Where  Higher powers taking a hold on me Where, where, where, where  I need a one dance Got a Hennessy in my hand One more time 'fore I go Higher powers taking a hold on me [Outro] How do you spell ""Hennessy?"" I put two ""N""s and two ""S""es, is it like that? Hen... Henn... Henn... It's definitely not showing up I know ""Hennessy"" has two ""S""es for sure, so I'm gonna take out one of the ""N""s"
Passionfruit,Drake,"273 Contributors Translations Español Deutsch Português Passionfruit Lyrics “Passionfruit” details Drake’s struggle to maintain trust in a long-distance relationship. Throughout the song, Drake explores how he is unable to maintain trust and faithfulness to this woman, eventually… Read More [Intro: Moodymann] Hold on, hold on, fuck that Fuck that shit Hold on, I got to start this motherfuckin' record over again, wait a minute Fuck that shit Still on this motherfuckin’ record I'ma play this motherfucker for y'all Ayy, y’all get some more drinks goin' on I'll sound a whole lot better [Verse 1: Drake] Listen Seein' you got ritualistic Cleansin' my soul of addiction for now 'Cause I'm fallin' apart, yeah Tension Between us just like picket fences You got issues that I won’t mention for now ’Cause we're fallin’ apart [Chorus: Drake] Passionate from miles away Passive with the things you say Passin' up on my old ways I can't blame you, no, no Passionate from miles away Passive with the things you say Passin' up on my old ways I can’t blame you, no, no [Verse 2: Drake] Listen Harder buildin' trust from a distance I think we should rule out commitment for now 'Cause we're fallin' apart Leavin' You're just doing that to get even Don't pick up the pieces, just leave it for now They keep fallin' apart [Chorus: Drake] Passionate from miles away Passive with the things you say Passin' up on my old ways I can't blame you, no, no Passionate from miles away Passive with the things you say Passin' up on my old ways I can't blame you, no, no [Outro: Zoë Kravitz] Um, trying to think of the right thing to say"
DIE TRYING,Drake,NA
She Will,Drake,NA
God's Plan,Drake,"674 Contributors Translations Русский Russian Türkçe Español Polski Italiano Deutsch Français azərbaycan God’s Plan Lyrics “God’s Plan” is a feel-good track that discusses Drake’s future. Being who he is in the industry, he knows that people want him to fail; however, God won’t let him do that. Another key subject of the song is… Read More [Intro] And they wishin' and wishin' And wishin' and wishin', they wishin' on me Yeah [Verse 1] I been movin' calm, don't start no trouble with me Tryna keep it peaceful is a struggle for me Don't pull up at 6 a.m. to cuddle with me You know how I like it when you lovin' on me I don't wanna die for them to miss me Yes, I see the things that they wishin' on me Hope I got some brothers that outlive me They gon' tell the story, shit was different with me [Chorus] God's plan, God's plan I hold back, sometimes, I won't, yeah I feel good, sometimes, I don't Ayy, don't I finessed down Weston Road Ayy, 'nessed Might go down a G-O-D Yeah, wait I go hard on Southside G Yeah, wait I make sure that north-side eat And still [Post-Chorus] Bad things It's a lot of bad things that they wishin' and wishin' And wishin' and wishin', they wishin' on me Bad things It's a lot of bad things that they wishin' and wishin' And wishin' and wishin', they wishin' on me Yeah, ayy, ayy [Verse 2] She say, ""Do you love me?"" I tell her, ""Only partly I only love my bed and my mama, I'm sorry"" Fifty Dub, I even got it tatted on me Eighty-one, they'll bring the crashers to the party And you know me Turn the O2 into the O3, dog Without 40, Oli, there'd be no me 'Magine if I never met the broskies [Chorus] God's plan, God's plan I can't do this on my own, ayy No, ayy Someone watchin' this shit close Yep, close I've been me since Scarlett Road, ayy Road, ayy Might go down as G-O-D Yeah, wait, yeah I go hard on Southside G Ayy, wait, ayy I make sure that north-side eat, yeah And still [Post-Chorus] Bad things It's a lot of bad things that they wishin' and wishin' And wishin' and wishin', they wishin' on me Yeah, yeah Bad things It's a lot of bad things that they wishin' and wishin' And wishin' and wishin', they wishin' on me Yeah"
WAIT FOR U (feat. Drake & Tems),Drake,NA
Headlines,Drake,"237 Contributors Translations Español Headlines Lyrics This song features production from Drake’s frequent collaborators who’ve shaped his sound—Boi-1da and Noah “40″ Shebib. It was the first song that Drake dropped for his album Take Care. He told MTV News: I… Read More [Verse 1] I might be too strung out on compliments Overdosed on confidence Started not to give a fuck and stopped fearin' the consequence Drinkin' every night because we drink to my accomplishments Faded way too long, I'm floatin' in and out of consciousness And they sayin' I'm back, I'd agree with that I just take my time with all this shit, I still believe in that I had someone tell me I fell off, ooh, I needed that And they want to see me pick back up, well, where'd I leave it at? I know I exaggerated things, now I got it like that Tuck my napkin in my shirt 'cause I'm just mobbin' like that You know good and well that you don't want a problem like that You gon' make someone around me catch a body like that No, don't do it Ayy, please don't do it Ayy 'Cause one of us goes in and we all go through it Ayy And Drizzy got the money, so Drizzy gon' pay it Those my brothers, I ain't even gotta say it That's just something they know [Chorus] They know, they know, they know They know, they know, they know They know, they know, they know Yeah, they know, yeah That the real is on the rise Fuck them other guys I even gave 'em a chance to decide Now it's something they know They know, they know, they know Yeah [Verse 2] I be yellin' out, ""Money over everything,"" money on my mind Then she wanna ask when it got so empty Tell her I apologize, happened over time She says, ""They miss the old Drake,"" girl, don't tempt me ""If they don't get it, they'll be over you That new shit that you got is overdue You better do what you supposed to do"" I'm like, ""Why I gotta be all that?"" But still, I can't deny the fact that it's true Listening to you expressin' all them feelings Soap-opera rappers, all these niggas sound like all my children And that's who you thinkin' is 'bout to come and make a killin'? I guess it really is just me, myself, and all my millions You know that they ain't even got it like that You gon' hype me up and make me catch a body like that 'Cause I live for this, it isn't just a hobby like that When they get my shit and play it, I ain't even gotta say it, they know [Chorus] They know, they know, they know They know, they know, they know They know, they know, they know Yeah, they know, yeah That the real is on the rise Fuck them other guys I even gave 'em a chance to decide Now it's something they know They know, they know, they know [Outro] I be yellin' out, ""Money over everything,"" money on my mind Mind, mind-mind Tell 'em I apologize, it happened over time Time, time-time They know They know, they know, they know They know, they know, they know They know, they know, they know Yeah [Outro Poem]"
9,Drake,"248 Contributors Translations Français 9 Lyrics ”9"" is an homage to Drake’s hometown Toronto “the 6” and an assertion of his influence there. Drake uses the number 9 to describe his influence over Toronto, saying he “turned the 6 upside down”—making it… Read More [Intro] Yeah, for the dogs dem, you know Everybody wanna know how shit gets like this, man Man, the whole city Shit's crazy right now, and shit ain't gonna stop Know shit gonna get a lot more worse before it get any better [Verse 1] Look, mama hit my phone and said rap's no good Better than her telling me the check's no good Now they wanna act like I do no good Funny 'cause I really did more than I should I made a decision last night that I would die for it Just to show the city what it takes to be alive for it Can't get me on the line so they hang me out to dry for it You know 40 wants peace but I'm down to cut ties for it And I can't sleep these days unless I take one If they don't have a story these days, they'll make one Life is always on, man, I never get a break from it Doesn't matter where I go, I can never get away from it They give me loyalty and I don't gotta pay for it Same way, breads gotta break for it Keeping people fed is my only peace of mind now And I turn the six upside down, it's a nine now [Pre-Chorus: Drake] I made a decision last night that I would die for it [Chorus: Mavado & Drake ] Dying, woo , yeah, yeah, gangstas, gangstas, gangstas... Dying, woo , yeah, yeah, gangstas, gangstas, gangstas... Dying, woo , yeah, yeah, gangstas, gangstas, gangstas... Dying, woo , yeah, yeah, gangstas, gangstas, gangstas... Oh [Verse 2] All these handouts, man it's getting outta hand I'ma start telling niggas ""Get it how you can"" I got it right now so I'm everybody's friend If I ever lose I bet we never speak again I made a decision last night, I'd die for it Just to show the city what it takes to be alive for it First place, first place, man we can't be tied for it I only drove it five times, paid 1.5 for it, yeah Keychain go jang-a-lang, I wanna do major things MJ in every way, I just don't fade away Six upside down, it's a nine now Like Mannie, like Stunna, man, shit is big time now [Pre-Chorus: Drake] And I made a decision last night that I would die for it [Chorus: Mavado & Drake ] Dying, woo , yeah, yeah, gangstas, gangstas, gangstas... Dying, woo , yeah, yeah, gangstas, gangstas, gangstas... Dying, woo , yeah, yeah, gangstas, gangstas, gangstas... Dying, woo , yeah, yeah, gangstas, gangstas, gangstas... Oh [Outro] … And then when I saw the news Make me feel afraid of how I’d been to you Trust me when I say I thought it all through Trust me when I say that shit is old moves God made himself a way from me to you Tried to kill me but they still want the Views Tried to kill me but they still want the Views Tried to kill me but I am very much alive on the six side Yeah, I said I am very much alive on the six side I said I am—"
Jimmy Cooks (feat. 21 Savage),Drake,"174 Contributors Translations Español Русский Russian Português हिन्दी Hindi Türkçe Jimmy Cooks Lyrics Concluding the house-inspired Honestly, Nevermind, Drake switches up for the album’s final song, trading bars with 21 Savage, on a hard-hitting instrumental. Chock-full of name-drops, references, threats, and… Read More [Part I] [Intro: Playa Fly & Drake] Just awaken shaken once again, so you know it's on Just awaken shaken once again, ho, you know it's on Just awaken shaken once again, so you know it's on Just awaken shaken once again, ho, you know it's on Yeah, life Life is the only thing we need They need me to go, but I don't wanna leave Rest in peace to Lil Keed [Verse: Drake & J. Cole ] Fuck a pigeonhole, I'm a night owl, this a different mode I might have to make her paint a 6 on her pinky toe Heard you with a shooting guard, just let a nigga know I would have you courtside, not the middle row All good, love, in a minute, though I can't strеss about no bitch 'cause I'm a timid soul Plus, I'm cookin' up ambition on a kitchen stove Pot start to bubblе, see the suds, that shit good to go Hoes say I'm suave, but I can't get RICO'd Bro think he John Wayne, I bought him yellow stones Love the way they hang, babe, fuck the silicone Everybody fake now, you could crack the code Bustdown everything, set in rose gold Dread talkin' to you niggas like I'm J. Cole I can tell her head good before I even know Bitch, don't tell me that you model if you ain't been in Vogue Gotta throw a party for my day ones They ain't in the studio, but they'll lay somethin' Rest in peace to Drama King, we was straight stuntin' You don't like the way I talk? Nigga, say somethin' Gotta throw a party for my day ones Pull up and you know it's us, the bass jumpin' You don't like the way I talk? Then say somethin' Get out my face, nigga [Part II] [Chorus: Drake & 21 Savage ] Gotta throw a party for my day ones They ain't in the studio, but they'll lay somethin' Rest in peace to Drama King, we was straight stuntin' If I let my nigga 21 tell it, you a Pussy [Verse: 21 Savage & Drake ] Spin a block twice like it ain't nowhere to park 21 Smack the backside of his head like he Bart Pussy OVO 4L, we come out when it get dark 21, 21 Big stepper, he came in a Rolls, but he left in a stretcher 21 Let my brother drive while I shoot, team effort 21 Askin' all these questions, bitch, you must think you Nadeska The chopper like to feel on all the opps, it's a molester 21 I be with my gun like Rozay be with lemon pepper She wanna hear some Afrobeats 'cause she just popped a Tesla All that workin' out, that nigga must think he a wrestler But this ain't UFC, this chopper came with a compressor 21 This chopper came with a compressor Pussy This chopper came with a— Pussy This Glock 4-5 came with a switch 21 If I was Will Smith, I would've slapped him with a stick Put your hands in the air, it's a stick-up 21 Spin the same hood where I get my dick sucked Facts If you standin' on business, put your blick up 21, 21 Come around actin' scary, get your shit took 21 Fell in love with feelin' dizzy, so I spizzin 21 I got mad love for the boy, yeah, that's my twizzin 21 If them niggas keep on dissin', slide agizzain 21 We the reason why the opps ain't got no frizziends 21 Last nigga played with me got turned duppy I ain't even roll him in the 'Wood 'cause he musty You ask how she doin', I just tell her come and fuck me Shot his ass twenty times, damn, this nigga lucky Damn, that nigga lucky  [Chorus: Drake] Gotta throw a party for my day ones They ain't in the studio, but they'll lay somethin' Rest in peace to Drama King, we was straight stuntin' You don't like the way I talk? Nigga, say somethin' [Outro: Drake] Say somethin', say somethin', say somethin', say somethin', say somethin' You don't like the way I talk? Nigga, say somethin', say somethin', say somethin', say somethin', say somethin'"
